right_id	airline_name	icao_airline	country	from_city	to_city	max_freq	month
1857	Браво	BAY	Туніська Республіка	Харків	Монастір	3	2017-03-20
649	МАУ	AUI	Республіка Таджикистан	Київ	Душанбе	3	2013-11-20
1137	РОЗА ВІТРІВ	WRC	Республіка Хорватія	Київ	Дубровнік	3	2015-08-20
1375	ЯнЕір ЛТД	ANR	Держава Ізраїль	Харків	Тель-Авів	3	2016-03-20
1135	РОЗА ВІТРІВ	WRC	Королівство Іспанія	Київ	Тенеріфе	3	2015-08-20
1134	РОЗА ВІТРІВ	WRC	Королівство Іспанія	Харків	Барселона	3	2015-08-20
1373	ЯнЕір ЛТД	ANR	Республіка Кіпр	Київ	Пафос	3	2016-03-20
1161	МАУ	AUI	Держава Ізраїль	Вінниця	Тель-Авів	3	2016-12-20
643	МАУ	AUI	Туркменістан	Київ	Ашгабад	3	2013-11-20
1130	РОЗА ВІТРІВ	WRC	Королівство Таїланд	Київ	Бангкок	3	2015-08-20
682	МАУ	AUI	Республіка Кіпр	Одеса	Ларнака	3	2013-12-20
1179	АТЛАСДЖЕТ УКРАЇНА	UJX	Італійська Республіка	Львів	Неаполь	3	2015-08-20
1132	РОЗА ВІТРІВ	WRC	Об'єднані Арабські Емірати	Львів	Дубай	3	2015-08-20
1131	РОЗА ВІТРІВ	WRC	Об'єднані Арабські Емірати	Дніпро	Дубай	3	2015-08-20
1138	РОЗА ВІТРІВ	WRC	Демократична Соціалістична Республіка Шрі-Ланка	Київ	Коломбо	3	2015-08-20
715	МАУ	AUI	Азербайджанська Республіка	Львів	Баку	3	2014-01-20
1165	Дніпроавіа	UDN	Федеративна Республіка Німеччина	Дніпро	Франкфурт	3	2015-08-20
1404	ЯнЕір ЛТД	ANR	Республіка Ірак	Київ	Ербіль	3	2016-04-20
1180	Браво	BAY	Королівство Великої Британії та Північної Ірландії	Київ	Лондон	3	2015-08-20
1457	Дніпроавіа	UDN	Республика Вірменія	Дніпро	Єреван	3	2016-05-20
1133	РОЗА ВІТРІВ	WRC	Об'єднані Арабські Емірати	Київ	Дубай	3	2015-08-20
1266	ДАРТ	DAT	Грецька Республіка	Київ	Афіни	3	2016-03-20
1080	МАУ	AUI	Республіка Польща	Вінниця	Варшава	3	2015-07-20
1694	Браво	BAY	Фінляндська Республіка	Одеса	Кіттіла	2	2016-12-20
1454	МАУ	AUI	Італійська Республіка	Івано-Франківськ	Венеція	2	2016-05-20
1178	Дніпроавіа	UDN	Італійська Республіка	Львів	Болонья	2	2015-08-20
1186	Українсько-середземноморські авіалінії	UKM	Італійська Республіка	Київ	Неаполь	2	2015-08-20
